"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"FSI-threshold-check"
"07/25/2026 15:56:20:404 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","fsi-threshold","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0.2","0.1","1.02","0.627","0.75","62","152.83772095276797","36.74755112495592","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","63","152.9807827854592","36.74539899334382","0.4139362764857114"
"3","true","0.2","0.1","1.02","0.627","0.75","64","153.88833351377954","36.89302001280279","0.43100453228350116"
"3","true","0.2","0.1","1.02","0.627","0.75","65","154.66487604410938","37.5011181981501","0.4103275923872761"
"3","true","0.2","0.1","1.02","0.627","0.75","66","157.8098203669451","36.311871211432084","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","67","160.20552310874425","37.249992229846825","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","68","153.81008242946857","36.11838921972073","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","69","153.4020251042658","36.36270419705037","0.24524910548799222"
"3","true","0.2","0.1","1.02","0.627","0.75","70","150.88290414238466","36.291964992228856","0.36281160548799224"
"3","true","0.2","0.1","1.02","0.627","0.75","71","151.51360851653521","36.2673795435824","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","72","150.59522321257307","36.465594779772694","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","73","150.25454683804085","36.32231676374597","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","74","148.6124230005263","37.025644679688334","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","75","144.46515569069086","36.05107480652573","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","76","132.66592490989777","33.50042564406035","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","77","124.21761512037241","31.424100226637712","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","78","123.03170771396613","31.597912418525752","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","79","122.24442850192372","31.56893866435054","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","80","122.37641698839401","31.851804257395067","0.29147529651758186"
"3","true","0.2","0.1","1.02","0.627","0.75","81","123.0795719153614","33.03193492890906","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","82","121.81063573156801","32.69412891370493","0.24394681880059038"
"3","true","0.2","0.1","1.02","0.627","0.75","83","120.63707712523777","32.74965673897223","0.23747486141118174"
"3","true","0.2","0.1","1.02","0.627","0.75","84","121.24168495459854","32.85814792124724","0.23747486141118174"
"3","true","0.2","0.1","1.02","0.627","0.75","85","123.81660183791129","33.32796715338122","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","86","123.9026360663713","33.70853188454015","0.3501799366956384"
"3","true","0.2","0.1","1.02","0.627","0.75","87","124.22078012516769","34.02996940266668","0.4308769399472907"
"3","true","0.2","0.1","1.02","0.627","0.75","88","123.47303237982729","36.709190183042146","0.41633993648758627"
"3","true","0.2","0.1","1.02","0.627","0.75","89","121.11034505004174","35.508497883793","0.23512500000000003"
"2","true","0.2","0.1","1.02","0.627","0.75","1","0","0","0.922767766596202"
"3","true","0.2","0.1","1.02","0.627","0.75","90","116.33936092154009","34.45434468321414","0.3008057722548927"
"3","true","0.2","0.1","1.02","0.627","0.75","91","116.68727855067729","34.39111157509584","0.2594225676858192"
"3","true","0.2","0.1","1.02","0.627","0.75","92","116.91747363782639","34.3060743096924","0.2594225676858192"
"3","true","0.2","0.1","1.02","0.627","0.75","93","117.4094768710458","34.53695317868314","0.2674228188047841"
"3","true","0.2","0.1","1.02","0.627","0.75","94","119.21806468946615","34.200512939025636","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","95","118.44711658705636","33.92349170557679","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","96","116.36791601140942","33.52389233666057","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","97","116.7952617681821","33.49684362264129","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","98","113.47835860843476","32.77000883981319","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","99","114.07759475165012","32.96104516499495","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","100","113.43966020925814","33.10417569597822","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","101","113.45400160815902","34.005116981064965","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","102","113.92786726321431","34.01806032038628","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","103","114.20051436205918","34.28412742430034","0.3297021721089677"
"3","true","0.2","0.1","1.02","0.627","0.75","104","113.41131655532176","33.96134404074015","0.4472646721089677"
"3","true","0.2","0.1","1.02","0.627","0.75","105","121.70992453685506","34.05763980532358","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","106","118.67013264567298","33.37105083376767","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","107","119.04315109218152","33.3760786953409","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","108","116.53661743163178","32.93308970879551","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","109","116.9843807774024","32.98311573470585","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","110","121.32144736345568","33.269240741238605","0.23591764768217738"
"3","true","0.2","0.1","1.02","0.627","0.75","111","114.55924947523656","32.5883755891131","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","42","89.92724261232239","27.48226061472296","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","112","107.17134465296651","30.433849248775616","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","43","90.91688878352466","28.149615567557042","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","113","107.48785023949183","30.679535291687973","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","44","85.78002909890671","26.67127369002146","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","45","86.55295151171218","27.283021620236152","0.3328343813189376"
"3","true","0.2","0.1","1.02","0.627","0.75","114","107.1248172033349","30.795920943547042","0.3403504919228331"
"1","true","0.2","0.1","1.02","0.627","0.75","46","93.20326293216722","27.387777385358522","0.3328343813189376"
"3","true","0.2","0.1","1.02","0.627","0.75","115","105.23874940787327","28.852031951160775","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","47","90.29656953445708","29.603201263771602","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","116","104.14197210919518","28.8017132889278","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","48","91.1987398105702","29.796225799230434","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","117","103.81885243413741","28.70549915726478","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","49","90.65790340357434","29.92180062090256","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","118","103.82169936436497","29.190561293465574","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","50","90.28390060710029","29.61072359549149","0.47025"
"3","true","0.2","0.1","1.02","0.627","0.75","119","102.99132866797774","28.915689114975102","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","51","100.63025431451325","29.816164696296703","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","52","100.22004445122768","30.12020278201705","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","120","101.5222374148862","28.490226596429288","0.35268750000000004"
"1","true","0.2","0.1","1.02","0.627","0.75","53","98.77302156751817","29.45367982121064","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","121","101.18899762087398","28.342308452244097","0.35268750000000004"
"1","true","0.2","0.1","1.02","0.627","0.75","54","98.87426354108153","30.61068594744896","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","122","101.2721833947683","28.58200473564126","0.35268750000000004"
"1","true","0.2","0.1","1.02","0.627","0.75","55","90.17720319820518","28.40009764554297","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","123","96.507142895753","27.460177172093545","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","56","94.22894042645903","28.890507581073756","0.35259808865084463"
"3","true","0.2","0.1","1.02","0.627","0.75","124","96.23075057879245","27.510929413755715","0.35268750000000004"
"1","true","0.2","0.1","1.02","0.627","0.75","57","91.93174625270605","30.295540634014106","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","125","96.36637576945597","27.363798084464197","0.2403177014916903"
"1","true","0.2","0.1","1.02","0.627","0.75","58","92.69341760352305","30.368962648933877","0.3135"
"1","true","0.2","0.1","1.02","0.627","0.75","59","88.65806965930007","29.284279907670246","0.40490685808895893"
"3","true","0.2","0.1","1.02","0.627","0.75","126","96.67137336723708","27.386974584906405","0.2403177014916903"
"1","true","0.2","0.1","1.02","0.627","0.75","60","87.04316173363706","28.679840853812387","0.5616568580889589"
"3","true","0.2","0.1","1.02","0.627","0.75","127","96.4979531375905","27.466311412290345","0.28476496063467827"
"1","true","0.2","0.1","1.02","0.627","0.75","61","84.03636199817586","26.714298043967883","0.3436921342765054"
"3","true","0.2","0.1","1.02","0.627","0.75","128","95.15180812529404","27.251955842303992","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","62","82.50643685910443","26.63308490964585","0.3436921342765054"
"3","true","0.2","0.1","1.02","0.627","0.75","129","96.60827153546077","27.29810081764079","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","63","78.70379883736734","25.553097132723863","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","130","96.60447997117687","27.516262973866116","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","64","78.76933872951126","25.89440824004409","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","131","96.42931836438983","27.518822329223923","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","65","78.827697247594","26.245307576261432","0.3135"
"3","true","0.2","0.1","1.02","0.627","0.75","132","96.72415621940077","28.59485055027951","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","133","93.30699634690102","27.787385234387635","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","66","78.22434008102259","26.39181751655948","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","134","90.77222613304093","27.19520075830934","0.35268750000000004"
"1","true","0.2","0.1","1.02","0.627","0.75","67","84.62162501475231","28.218144628628448","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","135","90.71835751136157","27.233430092537784","0.2774104741250274"
"1","true","0.2","0.1","1.02","0.627","0.75","68","84.15888251241358","27.917167552459528","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","136","91.00796049889203","27.230719468836465","0.2774104741250274"
"1","true","0.2","0.1","1.02","0.627","0.75","69","83.70687645671079","27.954411158315498","0.29526199541342507"
"3","true","0.2","0.1","1.02","0.627","0.75","137","91.11262658217636","27.374535035729767","0.36413820437431427"
"1","true","0.2","0.1","1.02","0.627","0.75","70","83.59290655611454","27.737554476237836","0.4128244954134251"
"3","true","0.2","0.1","1.02","0.627","0.75","138","90.52422170719726","27.289284831682487","0.25255622603308686"
"1","true","0.2","0.1","1.02","0.627","0.75","71","83.58339093646502","28.08955704896205","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","139","92.4251572389979","27.283820421060813","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","72","72.88953369974921","23.881150991921547","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","140","92.2516843004832","27.34346170951976","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","73","72.04223020052187","23.74624133472041","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","141","91.55154368295163","27.08388298063568","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","74","72.4193060784116","24.192004995649523","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","142","90.1917401133568","26.950373903134583","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","75","70.53997499049444","23.563553552578668","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","143","90.11563735347981","27.122232272456706","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","76","70.92391557882567","23.842818987892365","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","144","90.84922478099628","27.293026910347134","0.23512500000000003"
"1","true","0.2","0.1","1.02","0.627","0.75","77","70.8326142653714","23.77757532269614","0.35268750000000004"
"3","true","0.2","0.1","1.02","0.627","0.75","145","91.07722420342175","28.799551156287944","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","146","91.35865398334501","28.994377941402394","0.30909498129626856"
"1","true","0.2","0.1","1.02","0.627","0.75","78","70.78998844592114","24.273256796750456","0.2922267100939464"
"3","true","0.2","0.1","1.02","0.627","0.75","147","91.6145300691949","29.179619403879308","0.42286964520228754"
"1","true","0.2","0.1","1.02","0.627","0.75","79","72.17421841696554","23.916917472700593","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","148","91.69110491570052","29.422930460020826","0.4755339588338364"
"1","true","0.2","0.1","1.02","0.627","0.75","80","72.30679526293001","24.101247402378274","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","149","91.56099594788714","28.990877575269945","0.29835378732274276"
"1","true","0.2","0.1","1.02","0.627","0.75","81","70.89581739218748","24.3650262395682","0.23512500000000003"
"3","true","0.2","0.1","1.02","0.627","0.75","150","90.97011577102595","28.95377264966559","0.29835378732274276"
