"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"3","1","1","1","false","74","50.608288265691186","18.89577609639893","0.5169863647486426","45.76486294997101"
"2","1","1","1","false","84","43.07083659932708","17.877870901733576","0.5275142859323008","35.13122037963486"
"3","1","1","1","false","75","50.66681540325361","19.088689501537054","0.5169863647486426","44.222848314328665"
"2","1","1","1","false","85","43.10942565547322","18.06335888445389","0.7775142859323008","55.124035769917015"
"3","1","1","1","false","76","50.67066336036888","19.19250417600532","0.5169863647486426","43.62096333928932"
"2","1","1","1","false","86","43.28583567767439","18.090548028924545","0.710954912817673","48.64009474348692"
"3","1","1","1","false","77","49.42562270083451","18.952096364205232","0.5267553072723458","63.24801001063207"
"2","1","1","1","false","87","44.83189684630203","18.251380767833226","0.710954912817673","44.02625882313528"
"3","1","1","1","false","78","49.37671703284424","19.10603824192304","0.7767553072723459","43.119395163689745"
"2","1","1","1","false","88","45.02439002674627","18.31281433567289","0.710954912817673","49.22342573747174"
"3","1","1","1","false","79","48.979805905758155","19.222651714330475","0.7767553072723459","42.297535667621716"
"2","1","1","1","false","89","45.20906508311166","18.72038017089863","0.710954912817673","48.704144260975696"
"3","1","1","1","false","80","48.859655076614935","19.59450996569215","0.7767553072723459","42.23765804323488"
"2","1","1","1","false","90","45.18193947799651","18.794961206049052","0.5662285381266075","45.23419684210222"
"3","1","1","1","false","81","48.32131090242376","18.093820978295593","0.5540140855051455","75.69307024452846"
"2","1","1","1","false","91","43.85986737174837","18.386972504751974","0.8162285381266075","32.30030921562278"
"3","1","1","1","false","82","48.23238514167299","18.21415320408817","0.5540140855051455","42.44666472964598"
"2","1","1","1","false","92","45.07097632477313","18.443174060257387","0.6248551500729881","56.747248520359854"
"3","1","1","1","false","83","47.881334299628044","18.16830188486476","0.6581573747002764","60.11137794812221"
"2","1","1","1","false","93","44.05417131641083","18.212082331473596","0.5198464969458199","63.97439984234557"
"3","1","1","1","false","84","47.16538752722395","18.19983946237314","0.6581573747002764","37.20892072648701"
"2","1","1","1","false","94","43.1249252474634","17.96318226474558","0.5191321007690692","34.18906015284005"
"3","1","1","1","false","85","47.015127644785814","18.07426881031855","0.6527753055273966","57.867095941956784"
"3","1","1","1","false","86","47.341575771934366","17.859223859822755","0.6527753055273966","35.43852434300928"
"2","1","1","1","false","95","43.20662940639049","18.12881291241667","0.5191321007690692","45.011898265859685"
"3","1","1","1","false","87","47.53612210850546","17.89598941950022","0.6527753055273966","52.63289867685663"
"3","1","1","1","false","88","47.28152139399874","18.279518221955065","0.6238055109898004","59.332218240821575"
"2","1","1","1","false","96","42.518480948896496","18.52038432399704","0.5356960269991443","61.78577649003632"
"3","1","1","1","false","89","47.49867848032763","18.337816127527017","0.5081862292360481","48.05947965468439"
"2","1","1","1","false","97","44.15313218700193","18.504580298366","0.5411180503580543","46.57564262520839"
"3","1","1","1","false","90","47.44535119176318","18.456510796885816","0.7581862292360481","57.19991822310104"
"3","1","1","1","false","91","48.1735595869147","18.634398378393907","0.5775043718922516","43.25600777904312"
"2","1","1","1","false","98","44.31469056317918","18.701246339817992","0.5411180503580543","47.75127478508039"
"3","1","1","1","false","92","47.841288005092856","18.42211372838616","0.5775043718922516","39.82621341873191"
"1","1","1","1","false","2","0","0","0.8040766914967163","55.60436431928251"
"2","1","1","1","false","99","44.20699461206377","18.599815259961243","0.5411180503580543","41.654368454538485"
"3","1","1","1","false","93","47.92406748225033","18.59180953718811","0.758027855970794","55.0169640799189"
"3","1","1","1","false","94","47.90249786874516","18.503734787208305","0.758027855970794","56.64482089095107"
