"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"government-comparison"
"07/25/2026 14:37:30:554 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[production-capacity] of one-of farmers"
"23","true","156","21.428174814428875","6.413568288483924","0.2707609907554577","49.650000000000006"
"24","true","156","24.04244111485095","7.848629985413642","0.37956370469535106","49.650000000000006"
"25","true","156","21.261707896442246","8.054224531696928","0.31463768707561446","49.650000000000006"
"26","true","156","21.814170295823413","7.914984563053419","0.2722523902653176","49.650000000000006"
"27","true","156","25.580402140494645","8.769803352110053","0.2598224592197704","49.650000000000006"
"28","true","156","23.895249505816192","9.328867248957962","0.29615408066248333","49.650000000000006"
"29","true","156","23.827552658471635","8.66339821733288","0.25380287671749785","49.650000000000006"
"30","true","156","21.334303217567644","8.214842080358746","0.37617051089566816","49.650000000000006"
"32","true","156","20.002938985120654","6.918214065237368","0.27939194243686594","49.650000000000006"
"31","true","156","23.05399872164429","7.543178962767342","0.25323939522389993","49.650000000000006"
"33","true","156","27.09329648111785","9.946733903899108","0.3701940429642815","49.650000000000006"
"34","true","156","22.90474856192514","7.626524023947588","0.24913694039379677","49.650000000000006"
"35","true","156","23.69853298352304","7.139043407784118","0.35289516693302087","49.650000000000006"
"36","true","156","25.503809586901728","7.511636897429775","0.2633566637198992","49.650000000000006"
"37","true","156","24.226055939299446","7.380884539750178","0.27432687178185566","49.650000000000006"
"38","true","156","19.859763518228018","6.808187225519805","0.272201028494043","49.650000000000006"
"39","true","156","22.165283660174925","7.214324175452646","0.26955589969387234","49.650000000000006"
"40","true","156","22.586006036091963","9.21826992334843","0.2835823677124387","49.650000000000006"
"41","true","156","20.231354993068674","9.509221234782965","0.3129340536794714","49.650000000000006"
"42","true","156","25.089323929349014","8.308987023448973","0.2500190807222431","49.650000000000006"
"44","true","156","18.997037356627324","8.531415754054326","0.26529260614095945","49.650000000000006"
"43","true","156","21.526904427407192","5.954444730702067","0.275497550746654","49.650000000000006"
"45","true","156","21.572593436203572","6.858031627844109","0.26372999429069016","49.650000000000006"
"46","true","156","21.749473620995047","8.526940341707782","0.32372676629007147","49.650000000000006"
"47","true","156","19.327735096989905","6.823022493953804","0.32315433005190264","49.650000000000006"
"48","true","156","19.596408796602745","6.809910215215208","0.2590285380628688","49.650000000000006"
"49","true","156","21.434696991048654","6.65234667684634","0.24907170529058179","49.650000000000006"
"50","true","156","21.124287616578847","8.233184563087967","0.2910119140166225","49.650000000000006"
"51","false","156","58.086300340718644","19.466041967623106","0.26365707925409126","49.650000000000006"
"52","false","156","42.872436954832544","15.488201363393792","0.3941510225663981","49.650000000000006"
"53","false","156","52.024610289002275","19.679241969128086","0.26030398349197353","49.650000000000006"
"54","false","156","45.69308417637076","19.685108330753025","0.29219128732414945","49.650000000000006"
"55","false","156","44.522664971761735","20.304222602435615","0.25405600911359627","49.650000000000006"
"56","false","156","59.83409011463331","20.11437977060657","0.2651201706429186","49.650000000000006"
"57","false","156","36.006532463282106","15.504918488035132","0.24941566298677145","49.650000000000006"
"58","false","156","56.14041820146028","19.3706677932792","0.2734592633364104","49.650000000000006"
"59","false","156","40.04285076180169","17.47634275023528","0.3001817593414249","49.650000000000006"
"60","false","156","42.16125159237341","17.88439197566813","0.25498599383192616","49.650000000000006"
"61","false","156","40.54679449876065","15.971036125766881","0.24966329020097508","49.650000000000006"
"63","false","156","52.83212836364506","21.658405198965276","0.3634994512003192","49.650000000000006"
"62","false","156","53.53672869535152","22.567309106758056","0.4389190051408772","49.650000000000006"
"64","false","156","58.02807794366975","23.072154186708037","0.345887017508026","49.650000000000006"
"65","false","156","51.243749163078434","20.80243250926227","0.2506575491811237","49.650000000000006"
"66","false","156","43.753843878214106","18.838772690504964","0.274245323914428","49.650000000000006"
"67","false","156","45.519127711398646","21.8348947978566","0.38469872738130273","49.650000000000006"
"68","false","156","45.3754162238374","19.037186935207323","0.3051434871372974","49.650000000000006"
"69","false","156","39.621427610868906","18.96132420331247","0.49738514669961337","49.650000000000006"
"70","false","156","50.26699446494324","18.86174103774464","0.3077518284511589","49.650000000000006"
"71","false","156","66.84777460809691","24.571039110207064","0.2625914374685879","49.650000000000006"
"72","false","156","51.34579961554753","19.733482159612215","0.25211535865736745","49.650000000000006"
"73","false","156","48.064126119938926","18.390596237095078","0.2631682142074341","49.650000000000006"
"74","false","156","56.13600971138124","20.415541743197117","0.3146785847077844","49.650000000000006"
