"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"2","true","0","1","0.627","0.75","45","68.16741316839257","15.151427422228002","0.43805554664013197"
"3","true","0","1","0.627","0.75","50","20.7319343686321","10.673954799757924","0.36743036850178984"
"2","true","0","1","0.627","0.75","46","68.55821531021853","15.611451301937265","0.594805546640132"
"2","true","0","1","0.627","0.75","47","67.75081541301795","15.593922832239661","0.5540249066179638"
"2","true","0","1","0.627","0.75","48","69.14341239468011","15.621495245496641","0.4522755135300838"
"3","true","0","1","0.627","0.75","51","20.592282451423213","10.586723700333897","0.34852413398288895"
"3","true","0","1","0.627","0.75","52","20.744473512596674","10.671143438653907","0.34852413398288895"
"3","true","0","1","0.627","0.75","53","21.965858470591726","10.741327408072616","0.3135"
"2","true","0","1","0.627","0.75","49","69.30300947161713","15.915344562911942","0.4213816694441014"
"3","true","0","1","0.627","0.75","54","23.62688056260254","10.58816791319191","0.3135"
"2","true","0","1","0.627","0.75","50","63.66363226437267","14.863105861764609","0.3135"
"3","true","0","1","0.627","0.75","55","22.167402537767114","10.15423614706607","0.4670363406858028"
"2","true","0","1","0.627","0.75","51","60.900670077896415","14.476093957088974","0.3135"
"2","true","0","1","0.627","0.75","52","61.07811937535157","14.844308570067579","0.47025"
"2","true","0","1","0.627","0.75","53","55.30144614098568","13.720352362277197","0.5165907661289736"
"3","true","0","1","0.627","0.75","56","22.48281404618587","10.193768086633904","0.4670363406858028"
"2","true","0","1","0.627","0.75","54","52.63159230587002","13.30588752890589","0.532523760270851"
"2","true","0","1","0.627","0.75","55","53.83999799276049","13.36802331588717","0.3798761051834394"
"3","true","0","1","0.627","0.75","57","22.846838260555515","10.234402300611231","0.6207517807449129"
"2","true","0","1","0.627","0.75","56","53.021940350828885","13.426790012496376","0.3798761051834394"
"3","true","0","1","0.627","0.75","58","23.009165166591202","10.286827147688232","0.5339243630143664"
"2","true","0","1","0.627","0.75","57","52.850939734483134","13.376144446380918","0.3267740419096932"
"2","true","0","1","0.627","0.75","58","52.42841558227103","13.255104728660543","0.3135"
"2","true","0","1","0.627","0.75","59","47.62353731761279","12.182982711803481","0.3135"
"2","true","0","1","0.627","0.75","60","47.788356408280194","12.185840524278266","0.3135"
"2","true","0","1","0.627","0.75","61","47.34069592373696","12.03661374996519","0.3745190387417186"
"2","true","0","1","0.627","0.75","62","46.556627587262085","11.941176342441143","0.3555915471990457"
"2","true","0","1","0.627","0.75","63","46.474354938606965","11.91780373607236","0.3135"
"2","true","0","1","0.627","0.75","64","46.63659637902293","12.182321348330081","0.46880851109244637"
"3","true","0","1","0.627","0.75","59","22.779669202137587","10.321349994808868","0.47082993331456535"
"3","true","0","1","0.627","0.75","60","23.102351452371103","10.3087608389458","0.3135"
"3","true","0","1","0.627","0.75","61","22.6735810359965","10.223610572380872","0.3135"
"3","true","0","1","0.627","0.75","62","21.916730334815384","9.903781677457491","0.3135"
"3","true","0","1","0.627","0.75","63","21.340549887694046","9.521367082395876","0.3135"
"3","true","0","1","0.627","0.75","64","21.496072939056056","9.556145459198193","0.3135"
"3","true","0","1","0.627","0.75","65","22.29418973250405","9.610473363383418","0.3135"
"3","true","0","1","0.627","0.75","66","22.618797138303503","9.647418040396941","0.3217480203374033"
"3","true","0","1","0.627","0.75","67","22.748708632217465","9.599167141723703","0.3313019973491746"
"2","true","0","1","0.627","0.75","65","47.07399248899762","12.18456868646588","0.3135"
"3","true","0","1","0.627","0.75","68","22.463510424014764","9.509501091088831","0.23512500000000003"
"2","true","0","1","0.627","0.75","66","46.104694028212954","11.857793734019264","0.24061242482005085"
"3","true","0","1","0.627","0.75","69","22.57196526288103","9.392029922044415","0.23512500000000003"
"2","true","0","1","0.627","0.75","67","45.476906833371515","11.749376027149117","0.23512500000000003"
"3","true","0","1","0.627","0.75","70","22.56303388228857","9.535097132443648","0.23512500000000003"
"3","true","0","1","0.627","0.75","71","22.609765540611924","9.42567652150174","0.23512500000000003"
"2","true","0","1","0.627","0.75","68","45.72233036779795","11.737245990420208","0.23512500000000003"
"3","true","0","1","0.627","0.75","72","22.575614205457747","9.434406974796909","0.23512500000000003"
"2","true","0","1","0.627","0.75","69","45.47278531662377","11.769628946343662","0.3184004262999103"
"3","true","0","1","0.627","0.75","73","22.556000610210322","9.410688118052876","0.23512500000000003"
"2","true","0","1","0.627","0.75","70","45.364860482744604","11.817194920967525","0.2353179206784661"
"3","true","0","1","0.627","0.75","74","21.950871446556164","9.261047211662717","0.23595159698407897"
"2","true","0","1","0.627","0.75","71","44.824376468167024","11.726868270608524","0.23512500000000003"
